prev_norm,m,curr_norm,converged
0.4569108287268612,7,0.3693469736388083,0
0.3693469736388083,1,0.3681009521921836,0
0.3681009521921836,8,0.31473278013326367,0
0.31473278013326367,10,0.25040564201208876,0
0.25040564201208876,5,0.23718030495999784,0
0.23718030495999784,11,0.10506065648018195,0
0.10506065648018195,11,0.04246308557614529,0
0.04246308557614529,14,0.023510349205313162,0
0.023510349205313162,13,0.012443097495988766,0
0.012443097495988766,13,0.008492335772719354,0
0.008492335772719354,7,0.007442729357859755,0
0.007442729357859755,15,0.005729301155591229,0
0.005729301155591229,11,0.005468064027566562,0
0.005468064027566562,9,0.005216181121052017,0
0.005216181121052017,12,0.004065743886767203,0
0.004065743886767203,7,0.0035219256516902824,0
0.0035219256516902824,10,0.0031485825552059104,0
0.0031485825552059104,14,0.002036622503628922,0
0.002036622503628922,17,0.0012497720837521204,0
0.0012497720837521204,18,0.000595858409041087,0
0.000595858409041087,10,0.0003582865483841843,0
0.0003582865483841843,10,0.00031175206010882194,0
0.00031175206010882194,16,0.00018439950450199752,0
0.00018439950450199752,6,0.0001499889843446757,0
0.0001499889843446757,16,0.00010820522810103989,0
0.00010820522810103989,10,7.382241196585653e-05,0
7.382241196585653e-05,3,6.935643416267583e-05,0
6.935643416267583e-05,2,6.848193953266685e-05,0
6.848193953266685e-05,16,3.72173381529143e-05,0
3.72173381529143e-05,2,3.317592046533426e-05,0
3.317592046533426e-05,6,2.1278933587584086e-05,0
2.1278933587584086e-05,7,1.7665400554265423e-05,0
1.7665400554265423e-05,4,1.6914826480373107e-05,0
1.6914826480373107e-05,6,1.4915913381951679e-05,0
1.4915913381951679e-05,15,5.337294074982257e-06,0
5.337294074982257e-06,1,4.896585261131935e-06,0
4.896585261131935e-06,16,1.3185281239766544e-06,0
1.3185281239766544e-06,17,6.504961338902973e-07,1
14.762265870427472,6,3.7540736271222532,0
3.7540736271222532,1,3.528477354757437,0
3.528477354757437,3,2.8463078876215233,0
2.8463078876215233,8,1.7162008837180796,0
1.7162008837180796,2,1.6673359810350439,0
1.6673359810350439,14,1.3659335057128232,0
1.3659335057128232,4,1.3464192263273165,0
1.3464192263273165,6,1.3186585390783139,0
1.3186585390783139,8,1.2794841433798034,0
1.2794841433798034,8,1.2492615735816077,0
1.2492615735816077,1,1.246279848384562,0
1.246279848384562,3,1.23951063921711,0
1.23951063921711,17,1.1765588521234587,0
1.1765588521234587,1,1.1753242041512488,0
1.1753242041512488,10,1.1395852036455465,0
1.1395852036455465,10,1.1082811998680249,0
1.1082811998680249,7,1.0854898622612712,0
1.0854898622612712,9,1.0497239793928277,0
1.0497239793928277,15,0.9183844451085749,0
0.9183844451085749,16,0.7264741663437017,0
0.7264741663437017,5,0.6499695818475985,0
0.6499695818475985,7,0.6019579177650237,0
0.6019579177650237,5,0.5627681357755095,0
0.5627681357755095,10,0.32813972216899145,0
0.32813972216899145,13,0.17668526268011953,0
0.17668526268011953,5,0.17007736591737765,0
0.17007736591737765,7,0.13535433154340634,0
0.13535433154340634,18,0.0385674371035912,0
0.0385674371035912,1,0.035092348162885305,0
0.035092348162885305,9,0.017011706572473934,0
0.017011706572473934,14,0.01241215148880174,0
0.01241215148880174,3,0.010946496398745625,0
0.010946496398745625,1,0.01070197546713691,0
0.01070197546713691,3,0.010433619764526603,0
0.010433619764526603,18,0.0026392387581549532,0
0.0026392387581549532,1,0.002441608700155634,0
0.002441608700155634,4,0.0017887169016713564,0
0.0017887169016713564,1,0.0017149031090462885,0
0.0017149031090462885,3,0.0015600329712319033,0
0.0015600329712319033,12,0.001118019326281265,0
0.001118019326281265,5,0.0010810490480041158,0
0.0010810490480041158,11,0.0007622517648123046,0
0.0007622517648123046,12,0.0003175503299605869,0
0.0003175503299605869,17,0.00025588982897325986,0
0.00025588982897325986,1,0.000253018306467129,0
0.000253018306467129,17,8.938593023476355e-05,0
8.938593023476355e-05,12,5.9053314612180944e-05,0
5.9053314612180944e-05,4,5.6859218147524464e-05,0
5.6859218147524464e-05,15,3.583136407123211e-05,0
3.583136407123211e-05,17,1.4043522359352554e-05,0
1.4043522359352554e-05,5,1.1628665762854068e-05,0
1.1628665762854068e-05,18,9.610094885586567e-06,0
9.610094885586567e-06,9,6.500511772237698e-06,0
6.500511772237698e-06,12,5.126773472994374e-06,0
5.126773472994374e-06,19,5.309670116548792e-07,1
14.360650858973335,7,4.530442988472306,0
4.530442988472306,16,2.3227456773457824,0
2.3227456773457824,12,1.6864981053615224,0
1.6864981053615224,15,1.2239473732284984,0
1.2239473732284984,16,1.0268077167656013,0
1.0268077167656013,5,1.0008042690577754,0
1.0008042690577754,18,0.8805726045213996,0
0.8805726045213996,9,0.8148392172455728,0
0.8148392172455728,13,0.734608085095275,0
0.734608085095275,1,0.7295007940493471,0
0.7295007940493471,19,0.5643069483592025,0
0.5643069483592025,6,0.5057445914234265,0
0.5057445914234265,2,0.4961717831147019,0
